Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,Minutes
1‑Feb‑2024,Davis Cup QLS R1: UKR vs USA,Hard,RR,9,598,Fritz d. Vladyslav Orlov [UKR],6-3 6-4,1.45,15.00%,6.70%,53.30%,87.50%,50.00%,3/4,1:15:00,
12‑Feb‑2024,Delray Beach,Hard,F,9,14,(1)Fritz d. (3)Tommy Paul [USA],6-2 6-3,1.34,6.80%,2.70%,58.10%,72.10%,61.30%,7/7,1:40:00,
12‑Feb‑2024,Delray Beach,Hard,SF,9,52,(1)Fritz d. Marcos Giron [USA],7-6(8) 6-2,1.28,16.10%,1.60%,69.40%,74.40%,42.10%,0/2,1:47:00,
12‑Feb‑2024,Delray Beach,Hard,QF,9,84,(1)Fritz d. Rinky Hijikata [AUS],6-3 6-3,1.81,12.00%,2.00%,70.00%,80.00%,66.70%,0/0,1:14:00,
12‑Feb‑2024,Delray Beach,Hard,R16,9,46,(1)Fritz d. Nuno Borges [POR],7-6(5) 6-4,1.35,20.30%,1.40%,56.50%,87.20%,60.00%,1/2,1:32:00,
26‑Feb‑2024,Acapulco,Hard,R32,10,42,Matteo Arnaldi [ITA] d. (4)Fritz,6-4 4-6 6-3,0.84,8.90%,3.00%,60.40%,63.90%,50.00%,11/15,2:35:00,
4‑Mar‑2024,Indian Wells Masters,Hard,R16,12,7,(7)Holger Rune [DEN] d. (12)Fritz,2-6 7-6(2) 6-3,0.87,8.80%,3.30%,57.10%,69.20%,61.50%,2/3,2:18:00,
4‑Mar‑2024,Indian Wells Masters,Hard,R32,12,19,(12)Fritz d. (19)Sebastian Baez [ARG],6-2 6-2,2.41,22.50%,2.50%,62.50%,88.00%,66.70%,0/0,1:08:00,
4‑Mar‑2024,Indian Wells Masters,Hard,R64,12,39,(12)Fritz d. Alejandro Tabilo [CHI],7-6(2) 6-2,2.42,26.40%,1.90%,67.90%,86.10%,82.40%,0/0,1:14:00,
18‑Mar‑2024,Miami Masters,Hard,R64,13,76,(Q)Thiago Seyboth Wild [BRA] d. (12)Fritz,6-3 6-4,0.51,3.70%,0.00%,53.70%,75.90%,52.00%,3/5,1:11:00,
5‑Aug‑2024,Canada Masters,Hard,R32,13,18,Sebastian Korda [USA] d. (9)Fritz,6-4 7-6(4),0.82,8.60%,4.90%,51.90%,76.20%,56.40%,6/7,1:37:00,
5‑Aug‑2024,Canada Masters,Hard,R64,13,36,(9)Fritz d. Mariano Navone [ARG],6-4 6-1,1.65,14.00%,4.00%,54.00%,77.80%,69.60%,0/0,1:14:00,
12‑Aug‑2024,Cincinnati Masters,Hard,R64,12,49,(WC)Brandon Nakashima [USA] d. (11)Fritz,6-4 4-6 7-6(4),1.11,14.10%,6.50%,64.10%,83.10%,60.60%,5/6,2:17:00,
20‑Sep‑2024,Laver Cup,Hard,RR,7,3,Carlos Alcaraz [ESP] d. Fritz,6-2 7-5,0.69,10.80%,6.20%,67.70%,63.60%,47.60%,2/6,1:29:00,
20‑Sep‑2024,Laver Cup,Hard,RR,7,2,Fritz d. Alexander Zverev [GER],6-4 7-5,1.36,11.30%,4.20%,53.50%,86.80%,48.50%,4/5,1:57:00,
25‑Sep‑2024,Tokyo,Hard,R32,7,24,Arthur Fils [FRA] d. (1)Fritz,6-4 3-6 6-3,0.81,17.40%,7.00%,61.60%,77.40%,45.50%,3/5,2:03:00,
2‑Oct‑2024,Shanghai Masters,Hard,SF,7,4,(4)Novak Djokovic [SRB] d. (7)Fritz,6-4 7-6(6),0.75,7.10%,6.00%,58.30%,71.40%,54.30%,8/9,1:56:00,
2‑Oct‑2024,Shanghai Masters,Hard,QF,7,66,(7)Fritz d. David Goffin [BEL],6-3 6-4,1.36,16.40%,0.00%,67.20%,68.30%,70.00%,3/4,1:22:00,
